15012016                              Saída dinâmica de lista                                      1
------------------------------------------------------------------------------------------------------
15012016                          Fiscal - Cálculo Parcela Dedutível                             1
------------------------------------------------------------------------------------------------------
Fiscal - Cálculo Parcela Dedutível
------------------------------------------------------------------------------------------------------
| Material|Quantidade básica|UMB|Componente|TMat|Qtd|           Qtd|UM |O|   por| Prçstandard|Moeda|
| Y2304129|       1000.000 |UN |Y2277982  |HALB|X  |        28.000 |M  |0|1000 |      430.00 |     |
| Y3376418|       1000.000 |UN |Y2277982  |HALB|X  |        28.000 |M  |0|1000 |      430.00 |     |
| Y3376418|       1000.000 |UN |Y2277982  |HALB|   |         5.857 |M  |0|1000 |      430.00 |     |
| Y3324783|       1000.000 |UN |Y3192529  |HALB|X  |        55.000 |M  |0|1000 |      475.23 |     |
| Y3324783|       1000.000 |UN |Y3192529  |HALB|   |         7.697 |M  |0|1000 |      475.23 |     |
| Y2292325|       1000.000 |UN |Y2278558  |HALB|X  |        28.000 |M  |0|1000 |      533.30 |     |
| Y2292325|       1000.000 |UN |Y2278558  |HALB|   |        65.750 |M  |0|1000 |      533.30 |     |
| Y2292325|       1000.000 |UN |Y2278531  |HALB|X  |        28.000 |M  |0|1000 |      741.52 |     |
| Y2292325|       1000.000 |UN |Y2278531  |HALB|   |        65.750 |M  |0|1000 |      741.52 |     |
| Y2304276|       1000.000 |UN |Y2304207  |HALB|   |     1000.000 |UN |0|1000 |      331.44 |     |
| Y3392099|         508.000 |M  |Y2276659  |ZRAW|   |        20.000 |M  |0|    1 |        4.04 |     |
| Y4086263|       1000.000 |UN |Y3215643  |HALB|X  |       145.000 |M  |0|    1 |        0.59 |     |
| Y4086263|       1000.000 |UN |Y3215643  |HALB|   |       152.400 |M  |0|    1 |        0.59 |     |
| Y4226866|       1000.000 |UN |Y4165852  |HALB|X  |       100.000 |M  |0|    1 |        0.58 |     |
| Y4226866|       1000.000 |UN |Y4165852  |HALB|   |        16.780 |M  |0|    1 |        0.58 |     |
| Y4092771|       1000.000 |M  |Y2278508  |ZRAW|   |        50.000 |M  |0|1000 |    1178.55 |     |
| Y4092878|         500.000 |M  |Y4026268  |ZRAW|   |       220.000 |M  |0|    1 |        2.50 |     |
| Y4158172|       1000.000 |UN |Y4144412  |HALB|X  |        20.000 |M  |0|    1 |        1.08 |     |
| Y4158172|       1000.000 |UN |Y4144412  |HALB|   |        35.000 |M  |0|    1 |        1.08 |     |
| Y4158172|       1000.000 |UN |Y3955547  |HALB|X  |        20.000 |M  |0|    1 |        2.36 |     |
| Y4158172|       1000.000 |UN |Y3955547  |HALB|   |        35.000 |M  |0|    1 |        2.36 |     |
| Y4202943|       1000.000 |UN |Y2278762  |HALB|X  |        80.000 |M  |0|1000 |      170.67 |     |
| Y4202943|       1000.000 |UN |Y2278762  |HALB|   |       117.470 |M  |0|1000 |      170.67 |     |
| Y4202943|       1000.000 |UN |Y3066688  |HALB|   |       117.470 |M  |0|1000 |      477.37 |     |
| Y4202943|       1000.000 |UN |Y3066688  |HALB|X  |        80.000 |M  |0|1000 |      477.37 |     |
| Y4234987|       1000.000 |UN |Y2303575  |HALB|X  |        85.000 |M  |0|1000 |      522.53 |     |
